Employee_No,Title,Gender,Marital_Status,Date_Joined,Date_Resigned,Status,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Hourly_Time,Late_minutes,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual,Earnings,Total Fixed,Year_Joined,Resigned_Age,Worked_Duration
347,Mr,Male,Married,1993-12-08,,Active,Staff,Permanant,Buddhist,Driver,1965,8.586300211416491,19.10708245243129,16.0,6.0,11.0,11.0,36717.81888888889,34500.0,1993,,
348,Mr,Male,Married,1995-03-14,,Active,Staff,Permanant,Buddhist,Driver,1973,9.35121359223301,96.27594390507012,5.0,7.0,5.0,7.0,61777.02777777778,32300.0,1995,,
349,Mr,Male,Married,1988-01-27,2021-06-28,Inactive,Staff,Permanant,Buddhist,Account Clerk,1974,8.26536231884058,46.94227053140097,,,,,,,1988,47.0,33.0
351,Ms,Female,Married,1999-10-01,2022-01-31,Inactive,Staff,Permanant,Catholic,Purchasing Officer,1974,8.306571428571429,14.10559523809524,4.0,6.0,0.0,10.0,50981.56,49600.0,1999,48.0,23.0
352,Mr,Male,Married,2001-01-26,,Active,Staff,Permanant,Buddhist,Store Keeper,1980,10.434017857142855,39.97348214285714,,,,,37325.784117647054,27350.0,2001,,
353,Mr,Male,Married,2003-09-29,2020-08-31,Inactive,Staff,Permanant,Buddhist,Technical Officer,1962,,,,,,,,,2003,58.0,17.0
354,Mr,Male,Married,2003-11-10,,Active,Staff,Permanant,Buddhist,Technical Officer,1969,12.027012089810018,54.39513529073115,,,,,71616.56352941177,43117.64705882353,2003,,
355,Mr,Male,Married,2004-02-16,,Active,Staff,Permanant,Buddhist,Project Coordinator ,1981,14.173396524486572,52.624934175882046,,,,,168971.92,110829.41176470587,2004,,
356,Ms,Female,Single,2005-06-01,,Active,Staff,Permanant,Buddhist,Account Clerk,1974,9.137094736842103,12.294175438596492,6.0,6.0,0.0,12.0,58347.47833333334,52572.22222222222,2005,,
359,Mr,Male,Married,2006-07-01,2022-01-31,Inactive,Staff,Permanant,Buddhist,Electrician,1967,9.754037037037037,4.430679012345679,,,,,34826.11166666667,28250.0,2006,55.0,16.0
360,Mr,Male,Married,2006-08-29,2021-05-05,Inactive,Management,Permanant,Buddhist,Transport Officer,1976,8.155434782608696,29.32608695652174,,,,,,,2006,45.0,15.0
361,Mr,Male,Single,2006-11-01,,Active,Staff,Permanant,Hindu,Store Keeper,1986,11.83856610800745,55.07237740533829,,,,,62561.861176470586,40697.05882352941,2006,,
363,Mr,Male,Married,2007-05-25,2021-05-23,Inactive,Staff,Permanant,Buddhist,Driver,1975,11.4248,24.922666666666665,,,,,,,2007,46.0,14.0
365,Mr,Male,Married,2007-11-12,2020-09-10,Inactive,Staff,Permanant,Buddhist,Operator - JCB,1984,,,,,,,,,2007,36.0,13.0
366,Mr,Male,Married,2008-11-15,2020-05-21,Inactive,Staff,Permanant,Buddhist,Driver - Boom,1973,,,,,,,,,2008,47.0,12.0
371,Ms,Female,Single,2010-08-02,2021-04-30,Inactive,Management,Contarct Basis,Buddhist,Construction Manager,1963,,,,,,,,,2010,58.0,11.0
372,Mr,Male,Married,2010-08-05,2020-09-27,Inactive,Staff,Contarct Basis,Buddhist,Operator - Crane,1981,,,,,,,,,2010,39.0,10.0
373,Mr,Male,Married,2010-10-26,,Active,Staff,Contarct Basis,Buddhist,Operator-Excavator,1990,14.223740157480314,69.4490157480315,15.0,6.0,14.0,7.0,55561.16555555556,25794.444444444445,2010,,
376,Mr,Male,Married,2011-03-24,,Active,Staff,Contarct Basis,Buddhist,Store Keeper,1961,11.40296849087894,51.691818684356,5.0,0.0,0.0,5.0,57691.30555555556,36355.55555555556,2011,,
377,Mr,Male,Single,2011-11-03,,Active,Staff,Contarct Basis,Muslim,Draughtsman,1982,10.37271375464684,52.68999380421314,,,,,53650.2194117647,35750.0,2011,,
378,Mr,Male,Married,2011-11-21,2020-07-28,Inactive,Staff,Contarct Basis,Buddhist,Site Engineer,1965,,,,,,,,,2011,55.0,9.0
379,Mr,Male,Single,2012-01-25,2020-06-30,Inactive,Staff,Contarct Basis,Buddhist,Supervisor,1991,,,,,,,,,2012,29.0,8.0
380,Mr,Male,Married,2012-01-29,,Active,Staff,Contarct Basis,Buddhist,Driver,1978,11.709638752052545,31.02939244663383,,,,,34635.456666666665,22055.555555555555,2012,,
381,Mr,Male,Married,2012-03-17,,Active,Staff,Contarct Basis,Muslim,Technical Officer,1982,10.828045454545457,52.75606060606061,,,,,68738.20823529412,51800.0,2012,,
383,Mr,Male,Married,2012-05-21,,Active,Staff,Contarct Basis,Buddhist,Driver,1994,14.14744394618834,54.80994020926756,,,,,46286.330588235294,18529.41176470588,2012,,
384,Mr,Male,Married,2012-06-05,,Active,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1989,10.822096474953618,25.995083487940637,,,,,68295.32411764706,57305.882352941175,2012,,
385,Mr,Male,Married,2012-07-06,,Active,Staff,Contarct Basis,Buddhist,Junior Technical Officer,1986,10.00266393442623,26.509938524590165,,,,,57500.3105882353,50000.0,2012,,
388,Mr,Male,Married,2012-11-18,2020-03-30,Inactive,Staff,Contarct Basis,Buddhist,Technical Officer,1989,,,,,,,,,2012,31.0,8.0
389,Mr,Male,Married,2012-12-14,,Active,Staff,Contarct Basis,Buddhist,Driver,1994,12.341702586206896,46.78236350574713,,,,,31750.05411764706,19129.41176470588,2012,,
